ResearcherID;RecordID;LocationID;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;How long have you been in your office without leaving?;How many people are currently present in your office room?;How would you rate your current mood?;In this moment, how productive do you feel?;Smell source
1;P_10;Bolzano;3;3;3;2;3;4;3;3;31-60 minutes;3;Neutral;Neither unproductive nor productive;Body odours
1;P_09;Bolzano;2;1;2;1;2;5;2;2;3-30 minutes;3;Neutral;Neither unproductive nor productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;31-60 minutes;4;Neutral;Productive;No smell
1;P_10;Bolzano;3;3;3;3;3;3;3;3;3-30 minutes;4;Neutral;Slighlty productive;No smell
1;P_09;Bolzano;1;1;1;1;2;5;2;2;61-120 minutes;3;Neutral;Neither unproductive nor productive;No smell
1;P_05;Bolzano;4;3;3;3;2;3;3;3;3-30 minutes;2;Neutral;Slightly unproductive;No smell
1;P_09;Bolzano;2;2;2;1;2;2;2;2;61-120 minutes;3;Neutral;Very productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;31-60 minutes;3;Neutral;Productive;No smell
1;P_09;Bolzano;3;4;4;3;2;2;1;2;61-120 minutes;1;Good;Productive;Edible food
1;P_10;Bolzano;3;3;3;3;3;4;3;3;More than 2 hours;1;Neutral;Productive;No smell
1;P_09;Bolzano;1;1;1;1;2;5;2;2;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_07;Bolzano;3;3;3;3;3;3;3;3;Less than 3 minutes;2;Neutral;Neither unproductive nor productive;No smell
1;P_09;Bolzano;1;2;2;1;3;5;2;2;31-60 minutes;3;Neutral;Slighlty productive;No smell
1;P_07;Bolzano;4;3;3;3;3;3;3;3;More than 2 hours;2;Neutral;Slightly unproductive;No smell
1;P_09;Bolzano;1;1;2;1;3;4;2;2;3-30 minutes;4;Good;Productive;Body odours
1;P_10;Bolzano;3;3;3;3;3;3;3;3;31-60 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_10;Bolzano;3;3;3;3;3;3;3;3;61-120 minutes;2;Neutral;Neither unproductive nor productive;No smell
1;P_07;Bolzano;3;3;3;3;3;3;3;3;3-30 minutes;3;Good;Productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;3-30 minutes;1;Neutral;Slighlty productive;No smell
1;P_09;Bolzano;1;1;1;1;1;5;2;2;3-30 minutes;2;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;3;3;3;3-30 minutes;1;Neutral;Slighlty productive;No smell
1;P_09;Bolzano;1;1;1;1;1;5;1;2;3-30 minutes;3;Good;Productive;No smell
1;P_05;Bolzano;4;3;3;3;3;3;3;3;Less than 3 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_09;Bolzano;2;1;2;1;1;5;2;2;61-120 minutes;2;Good;Very productive;No smell
1;P_05;Bolzano;3;3;3;3;3;3;3;3;Less than 3 minutes;2;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;3;3;3;31-60 minutes;2;Neutral;Productive;No smell
1;P_05;Bolzano;4;3;3;3;2;3;3;3;3-30 minutes;2;Neutral;Neither unproductive nor productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;31-60 minutes;1;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;More than 2 hours;1;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;31-60 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_10;Bolzano;3;3;3;3;3;4;3;3;61-120 minutes;1;Neutral;Neither unproductive nor productive;No smell
1;P_09;Bolzano;1;1;1;1;1;5;2;2;More than 2 hours;1;Neutral;Productive;No smell
1;P_10;Bolzano;3;3;3;3;3;5;3;3;31-60 minutes;1;Neutral;Slighlty productive;No smell
1;P_09;Bolzano;1;1;1;1;1;5;1;2;61-120 minutes;2;Neutral;Productive;No smell
1;P_03;Bolzano;2;3;3;1;1;2;1;2;3-30 minutes;2;Neutral;Slighlty productive;No smell
1;P_09;Bolzano;1;1;1;1;1;5;1;2;31-60 minutes;1;Neutral;Productive;No smell
1;P_03;Bolzano;2;3;3;1;2;2;1;1;61-120 minutes;4;Good;Productive;No smell
1;P_09;Bolzano;1;1;2;1;1;5;1;2;31-60 minutes;1;Neutral;Very productive;No smell
1;P_10;Bolzano;3;3;3;3;2;5;3;3;31-60 minutes;2;Neutral;Slighlty productive;No smell
1;P_03;Bolzano;2;2;3;1;1;1;1;1;61-120 minutes;4;Good;Productive;No smell
1;P_10;Bolzano;3;3;3;3;3;5;3;3;3-30 minutes;3;Neutral;Neither unproductive nor productive;No smell
1;P_03;Bolzano;3;2;3;1;1;3;1;1;3-30 minutes;2;Good;Productive;No smell
1;P_05;Bolzano;2;3;3;2;4;3;3;4;More than 2 hours;3;Neutral;Unproductive;Body odours
1;P_05;Bolzano;2;3;3;3;4;3;3;3;More than 2 hours;3;Neutral;Slighlty productive;Body odours
1;P_03;Bolzano;3;2;3;1;1;2;1;1;31-60 minutes;2;Neutral;Slighlty productive;No smell
1;P_03;Bolzano;2;2;2;1;1;1;1;1;3-30 minutes;1;Neutral;Slighlty productive;No smell
1;P_03;Bolzano;3;3;3;3;3;3;3;3;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_03;Bolzano;2;4;3;1;4;2;1;1;Less than 3 minutes;1;Good;Slighlty productive;Stationery
1;P_05;Bolzano;3;3;3;3;4;3;3;3;More than 2 hours;1;Good;Slighlty productive;Body odours
