Time;Participant_ID;Stimulus_ID;Smell_detected;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;Acceptability;Odour_intensity;Hedonic_tone;Smelliness;Satisfaction;Appropriatness
2025/11/14 5:52:50 PM CET;P27;C06;woman perfume;2;4;2;2;4;2;4;3;Clearly unacceptable;Strong;-3;Very smelly;Unsatisfied;Slightly
2025/11/14 6:01:31 PM CET;P27;C09;scented candle;4;2;4;2;2;3;1;3;Clearly acceptable;Very week;4 Very pleasant;Slightly smelly;Satisfied;Very
2025/11/14 6:10:14 PM CET;P27;C04;cleaning products;4;4;4;4;2;2;2;3;Just acceptable;Weak;2;Smelly;Satisfied;Very
2025/11/14 6:29:53 PM CET;P27;C07;oil or wood;4;2;5;4;1;3;1;2;Clearly acceptable;Very week;3;Slightly smelly;Satisfied;Perfectly
2025/11/14 6:37:15 PM CET;P27;C05;chalk and soap;4;3;4;4;2;2;1;3;Clearly acceptable;Weak;3;Slightly smelly;Satisfied;Very
2025/11/14 6:48:09 PM CET;P27;C08;fresh air;4;1;5;2;1;4;1;4;Clearly acceptable;No odour;4 Very pleasant;Not smelly;Satisfied;Perfectly
2025/11/14 6:56:42 PM CET;P27;C01;parfume diffuser;4;4;3;4;2;2;2;3;Just unacceptable;Distinct;3;Smelly;Satisfied;Moderately
2025/11/17 10:20:22 AM CET;P26;C07;air freshners, detergents;4;4;4;3;2;2;2;4;Clearly acceptable;Weak;2;Slightly smelly;Satisfied;Moderately
2025/11/17 10:28:10 AM CET;P26;C04;air freshners;5;5;1;4;1;1;5;3;Clearly acceptable;Extremely strong;4 Very pleasant;Very smelly;Satisfied;Very
2025/11/17 10:37:27 AM CET;P26;C01;citrus fruits air freshners;2;4;2;4;5;2;4;3;Just unacceptable;Very strong;-3;Very smelly;Unsatisfied;Not at all
2025/11/17 10:46:23 AM CET;P26;C08;air freshners;3;2;5;2;3;4;1;3;Clearly acceptable;Very week;0;Not smelly;Satisfied;Very
2025/11/17 10:54:37 AM CET;P26;C06;air freshners;4;4;3;3;2;2;1;3;Clearly acceptable;Strong;3;Smelly;Satisfied;Very
2025/11/17 5:16:44 PM CET;P30;C03;pine, forest;5;5;2;4;1;1;3;3;Clearly acceptable;Extremely strong;3;Very smelly;Satisfied;Moderately
2025/11/17 5:24:42 PM CET;P30;C04;flowers;5;3;4;4;1;2;3;3;Just acceptable;Distinct;3;Smelly;Satisfied;Moderately
2025/11/17 5:33:30 PM CET;P30;C07;nothing;3;1;5;3;3;5;2;3;Clearly acceptable;No odour;0;Not smelly;Satisfied;Perfectly
2025/11/17 5:41:15 PM CET;P30;C08;nothing;3;1;4;3;3;5;3;3;Clearly acceptable;Very week;0;Not smelly;Satisfied;Very
2025/11/17 5:49:48 PM CET;P30;C06;flowers;4;4;3;4;1;1;3;3;Just acceptable;Strong;3;Smelly;Satisfied;Moderately
2025/11/19 10:28:15 AM CET;P02;C05;lemongrass, lavender;5;5;2;4;1;1;2;2;Clearly acceptable;Very strong;4 Very pleasant;Very smelly;Satisfied;Moderately
2025/11/19 10:38:06 AM CET;P02;C08;sanitizer;4;2;5;2;3;4;1;4;Just acceptable;Weak;1;Slightly smelly;Unsatisfied;Moderately
2025/11/19 10:46:53 AM CET;P02;C09;woman perfume;4;4;3;4;2;2;3;2;Just acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/11/19 10:56:03 AM CET;P02;C07;stale air, mold;2;3;5;3;4;3;4;4;Just acceptable;Weak;-1;Slightly smelly;Unsatisfied;Slightly
2025/11/19 11:05:51 AM CET;P02;C03;cola-flavored candies;4;4;2;4;2;2;4;2;Just acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/11/19 11:20:22 AM CET;P02;C01;nothing;3;2;5;2;1;5;1;5;Clearly acceptable;No odour;1;Not smelly;Satisfied;Perfectly
2025/11/19 11:29:36 AM CET;P02;C02;detergents;4;4;3;3;2;2;2;4;Clearly acceptable;Distinct;2;Smelly;Satisfied;Very
2025/11/19 11:38:31 AM CET;P02;C06;sanitizer;5;4;2;4;1;2;2;2;Clearly acceptable;Very strong;4 Very pleasant;Very smelly;Satisfied;Perfectly
2025/11/19 11:46:41 AM CET;P02;C04;lemon and lavender;5;4;2;4;1;1;3;2;Clearly acceptable;Very strong;4 Very pleasant;Very smelly;Satisfied;Very
2025/11/20 3:58:09 PM CET;P28;C02;not recognized;3;4;3;3;2;1;2;2;Clearly acceptable;Distinct;1;Smelly;Unsatisfied;Slightly
2025/11/20 4:08:14 PM CET;P28;C09;sharp aftershave scent;2;5;2;3;4;1;3;2;Just acceptable;Strong;0;Smelly;Unsatisfied;Slightly
2025/11/20 4:16:54 PM CET;P28;C03;mint and eucalyptus;2;4;2;3;2;2;4;2;Just acceptable;Distinct;0;Smelly;Unsatisfied;Moderately
2025/11/20 4:26:06 PM CET;P28;C01;eucalyptus;2;5;1;3;3;1;4;1;Just acceptable;Strong;-1;Smelly;Unsatisfied;Slightly
2025/11/20 4:35:54 PM CET;P28;C08;eucalyptus, with a strange note that reminds me of dust/dirt;3;4;2;2;4;2;4;3;Just acceptable;Strong;-1;Smelly;Unsatisfied;Slightly
2025/11/20 4:54:17 PM CET;P28;C07;eucalyptus;2;4;2;2;4;2;4;2;Just acceptable;Strong;0;Smelly;Unsatisfied;Slightly
2025/11/20 5:06:35 PM CET;P28;C06;clean laundry or scented candle;5;4;3;4;1;2;3;2;Clearly acceptable;Distinct;3;Smelly;Satisfied;Very
2025/11/20 5:14:57 PM CET;P28;C04;laundry and rose;4;4;2;3;2;2;3;2;Clearly acceptable;Distinct;2;Smelly;Satisfied;Moderately
2025/11/20 5:23:29 PM CET;P28;C05;laundry;4;4;2;3;2;2;3;2;Clearly acceptable;Distinct;3;Slightly smelly;Satisfied;Very
2025/11/21 2:25:20 PM CET;P25;C06;woods;4;4;4;3;2;2;3;3;Clearly acceptable;Strong;2;Smelly;Satisfied;Very
2025/11/21 2:33:54 PM CET;P25;C01;forest, spa salon;4;4;4;4;1;2;3;4;Clearly acceptable;Strong;2;Smelly;Satisfied;Very
2025/11/21 2:42:27 PM CET;P25;C05;flowers, musk;4;4;3;4;2;2;3;3;Just acceptable;Strong;3;Smelly;Satisfied;Slightly
2025/11/21 2:51:11 PM CET;P25;C06;flowers, soap or parfume;3;3;2;3;3;2;4;3;Just acceptable;Strong;1;Smelly;Unsatisfied;Not at all
2025/11/21 2:59:22 PM CET;P25;C09;banana, green, flower;3;3;4;3;3;2;3;3;Just acceptable;Distinct;1;Smelly;Satisfied;Slightly
2025/11/21 3:21:11 PM CET;P25;C04;citrus, greens, essentials ;4;4;3;3;2;2;3;3;Just acceptable;Strong;1;Very smelly;Satisfied;Not at all
2025/11/21 3:28:54 PM CET;P25;C08;some fragrance, pine;3;3;5;3;2;4;2;3;Just acceptable;Weak;0;Slightly smelly;Satisfied;Slightly
